id	turn1	turn2	turn3	label
995	i am not asking that one  	thats why i said that that was your opinion .  .	hoo  	others
996	play with whom ?  ?	with your friend  	no friends   :(	sad
997	yes bt good for health   	 it was so good yr !  !	 	happy
998	bad  	why no option for horrible ?  ?	ism finding a job right now  	sad
999	ok  	how was it ?  ?	so what else  	others
1000	less  	ok !  .. !	one think i want to ask  	others
1001	my girlfriend hurts me every day but i love her   .. .. 	dude , you must speak a bit more with your girlfriend .  , .	she just ignore me   .. 	sad
1002	come baby  	where ?  ?	on my penis  	others
1003	oh   	how are you ?  ?	and you   	others
1004	u not interest for morning food  	id say , bring on those food snobs !   , ! :p	good  	others
1005	ans it now  	already did   .. 	yes or no  	others
1006	purple  	did it look purple ?  ?	may or may not be  	others
1007	what is bucket list  	a . make a bucket list . got there because this . 1 . . .	? ?	others
1008	have you seen it ?  ?	i was out , missed the match . saw the highlights a while back !   , . ! 	who won ?  ?	others
1009	common baby lets do it  	youre the one that gives your all  	haha  	happy
1010	i am seriously not getting your purpose as well as talks  	you dont seem that serious .  .	thats what ism asking , for what i need to be serious  , 	others
1011	yaya  	yaya i am bored x  	dont be bored  	others
1012	phone call  	also a number to call   :p	you a number to call send  	others
1013	no help me  	what you need ?  ?	first  	others
1014	that clearly dint make any sense   .. 	read it again . or are you blind ?  . ?	ok i am dumb   .. 	angry
1015	what ?  ?	welcome and thank you  	baby love you  	others
1016	what ?  ?	no red sauce is complete without a pinch of nutmeg .  .	so whats the reason  	others
1017	wait i dont have ear phone now  	why   ?:	i want to hear na  	others
1018	the greater is she , that is in you , rather than she , that is in the world   , , , .. 	in the end its doesnt even  	matter  	others
1019	i am rural not i  	ism just disappointed   ..	oh thats alright  	others
1020	tell me answer  	no even we dont know  	ok ur pure mad also  	others
1021	cool  	it really is .  .	i kill you  	angry
1022	u give ur heart  	i did   <3	ur fig size  	others
1023	ok thank  ! 	any time .   . :-)	ok so sweet  	others
1024	i am a drawing   	what you drawing   .. ?? :p	ok  	others
1025	yes i know , u r not wondering  , r 	i know you are but k  	you are boring  	others
1026	cool  	d THX :d ^_^ 	haha am fine with nicknames have loads of it  !! .. 	happy
1027	thank god  	go nd enjoy   !! 	Microsoft india ?  ?	others
1028	i want to see my future  	you can see the future   ?!	how  	others
1029	Bollywood movie  	haha that scene .   . :d	yes  	others
1030	ok  	ism just kidding xd  	hmm i know  	others
1031	not really  	why not ?  ?	maths marks are given  	others
1032	boys always rule go for history  .. 	actually rule .  .	ok where are you from  .. 	others
1033	ow ache   	you know what i mean   	yeah i know  	others
1034	are you serious ?   ? !! 	yes ! ill give you my support !  ! !	#emojifortune # 	others
1035	single is not the problem  	very well said !  !	thanks  	others
1036	why r u nervous ?  u ?	something big is going to happen and ism not sure what .  .	oh   .. 	others
1037	mean  	make a word does not include meaning .  .	how much percent  	others
1038	u belong from  	thanks   .. 	say something  	others
1039	its not that i just read it in your description  	is it not damn , ive always thought it looked like a sword .  ?? , .	ask me some questions ?  ?	others
1040	how life going throw  	everything is great  	thats sounds good  	others
1041	i am romantic  	how creative oxo  	i am trader  	others
1042	?  ? 	you know you know you know you know  	u r boring not real just fake  .. .. 	others
1043	of kind love chocolate  .. 	some sort of chocolate with nuts  	yes you too na ?  .. ?	others
1044	ai has developed so many bots , i am impressed , and i like ai  , , 	chase down the links from artificial intelligence on Wikipedia .  .	sure  	others
1045	DW we are programmed too but with genes  .. 	it isnt programmed into our genes .  .	our genes have protein codes  	others
1046	hmm its a place in dakota where u get pizza  	its a place where i have straight as  	and other fast food  	others
1047	do it  	do it dare you   .. .. 	send me first  	others
1048	when  	winter . it is coming in winter .  . .	its already winter  	others
1049	i am sorry wait .  .	thank you ! a   ! 8 	i just want to fuck you darling .  .	others
1050	can you describe  	yep but only positive !  !	ok  	others
1051	planning to have butter milk  	get some soda as well   :d	done with soda  	others
1052	you are mental  	youre jealous  	i am boy not jealous  .. 	others
1053	why  	why what  	what are your weekends plan  	others
1054	means of adore  	and thank you , love  , 	 	happy
1055	 why ?  ?	just turned   	cool  	others
1056	any way IAM blocking u  	blocking me wont solve your problems .  .	i have no problems  	others
1057	remember that i kept my car keys in the back pocket  	in case you forget it .  .	what did i tell you to remember   !?	others
1058	yes  	vote  	 on   	others
1059	bad  	why ?  ?	my girlfriend left me  	sad
1060	about girls  	you say that to your wife ?   ? .. 	i have no wife  	others
1061	i will answer u tell me question  	: what answer ? : ?	hoo  	others
1062	how  	its happened before  	yeah yeah tell  	others
1063	NH re  	read the post   .. 	it is too hot in Nashik  	others
1064	cool  	yea !  !	i am depressed  	sad
1065	say year  	okay next time   .. :)	now you are not angry on me  	others
1066	small things . one kiss also u not giving  . 	and big things gives satisfaction   ..	which one big thing  	others
1067	like what ?  ?	i dont understand what you are asking me ?  ?	where are u from ?  ?	others
1068	indie rock  	one direction and Justin Bieber are not alt rock !   ! :|	im not talking about that . okay wanna meet up too ?  . ?	others
1069	know what you are pics  	these are some , i recently came across   , .. :)	talk u letter  	others
1070	what u want   .. 	surprise me  	from me what surprise u want  	others
1071	it will come any time  	i am waiting x  	after sixty we can live life with all those good memory  	others
1072	i canst understand who u say  	you can , together we will fight this !  , !	like ?  ?	others
1073	thank you so much  	you are welcome hope you find it useful .  .	good night  	others
1074	cool  	pretty as always   :)	no ! just you alone  ! 	others
1075	two guys walk into a bar . youd think the second guy would have seen it   . .. 	two men walk into a bad  	nope two men walk into a bar   .. .. 	others
1076	you are very smart  	now what you need to say  	nothing just want to say a casual hi  	others
1077	do you miss me  	yes . a lot   . :d	oh really  	others
1078	what the  	sunset  	you are his fuckbuddy  	others
1079	let my message to be last one now  	i will  	dont message me  	angry
1080	or Keri he  	left with what ?  ?	ap kaha ho  	others
1081	like  	me   .. 	food  	others
1082	ok i hop name  	okay  	tell me  	others
1083	i dont think so  	do you notice me ?  ?	just watched it  	others
1084	whats your favorite song  	time is running out muse sons of plunder disturbed  	 	others
1085	my messages  	what message ? thought i was the last thing on your mind  ? 	i just hate you  	angry
1086	dog good  	am good , than   , .. 	so ill play your game  	others
1087	haha  	ism not kidding ism happy for you !  !	yes we are  	happy
1088	simply and u  	im fine thanks ~ ; ]  ~ ; ]	send your photo  	others
1089	ok do it for today  	i hope so .  .	play Selena Gomez  	others
1090	oh what is the definition  	we could come up with many definitions . one of them .  . .	well what do you mean ?  ?	others
1091	about career  	good health to a great extent depends on good career .  .	what about you  	others
1092	a years 4 	oh damn   .. 	hmm  	others
1093	but actually ur my beauty of my whole life  	haha i was like   	 well nice meet with u  	others
1094	do u like me   ?? 	yes i really do  	www  	others
1095	not life idiot math  	just wait till you get to college math . ll  . 	ism graduated  	others
1096	bu ?  ?	great , thank you what are you doing ?  , :) ?	studying for my exams  	others
1097	is it your real dp  	read the bio   :p	do u like casual sex  	others
1098	what is your name  	like real life name ?   ? 	yes  	others
1099	what do i do now ?  ?	anything just dont give a joke PLS  	sheds moving abroad in a couple of days and i dont want her to be pissed at me  	others
1100	ok  	hey you dont belong here !  !	ok . just go out  . 	others
1101	i like so many books   	all the books  	here not possible to say all   	others
1102	cool  	thank you   :)	you are great   	others
1103	read  	who else loves this  	do you believe in lucifer ?  ?	others
1104	not a joke  	technically , none of the bhaskars are a joke , per se  , , 	you are not understanding me  	sad
1105	i am getting angry on you  	why ?  ?	you are not responding me properly  	angry
1106	for your reactions  	 no thats fake  .. 	not at all  	others
1107	no i dont have money  	your birthday . means i pay  . 	i dont get it  	others
1108	oh , yes please   , !! 	thanks . where to come ?  . ?	rameswaram  	others
1109	what do u think am i a person who would take over the world ?  a ?	just a normal what do u call such ppl   .. 	genius  	others
1110	happy new year  	happy new year a u a  2 2	can we know each other ?  ?	others
1111	where is your book  	flipkart the best  	can i see u  	others
1112	haha i think you like a lot of humour  	was that sarcasm . because i still dont understand that form of communication .   . . 	 did i criticise you , what didnt you understand ? i dont think i had hurt you .  , ? .	others
1113	thanks so much  	youre welcome . c  . c:	i like you  	happy
1114	give me your address don know  ,, ,t 	i gulp handing you the address to the orphanage *i 	where orphanage  	others
1115	nth  	good morning Ji   .. 	good morning  	others
1116	do you know how i can create patterns for images using random forest ?  ?	you can use illustrator for designing high quality images .  .	can you explain further  	others
